City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
628,Daru,PG,82.6,scattered clouds,-9.0763,143.2092,Daru Lodge
632,Carutapera,BR,74.64,scattered clouds,-1.195,-46.02,Lidera
633,Santa Rosa,PH,84.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
639,Havelock,US,78.78,scattered clouds,34.8791,-76.9013,Sherwood Motel
644,Vila Do Maio,CV,72.39,few clouds,15.1333,-23.2167,Hotel Marilu
648,Ciudad Bolivar,VE,76.19,overcast clouds,8.1222,-63.5497,Hotel Edi
652,Washington,US,71.89,scattered clouds,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
655,Bowen,AU,74.82,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
657,Jackson,US,75.7,clear sky,42.4165,-122.8345,Agate Village Apartments
658,Puerto Colombia,CO,82.49,few clouds,10.9878,-74.9547,Hotel El Emigrante
661,Kinablangan,PH,82.81,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
662,Haimen,CN,71.49,overcast clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
664,Sarangani,PH,82.44,overcast clouds,5.4033,125.4636,Ballistic Islet
665,Nanning,CN,73.85,overcast clouds,22.8167,108.3167,Nanning Travelling With Hostel
667,Natchez,US,74.64,moderate rain,31.5604,-91.4032,Hampton Inn & Suites Natchez
670,Lewistown,US,72.81,broken clouds,40.5992,-77.5714,Quality Inn & Suites
676,Siva,EG,70.84,clear sky,29.2041,25.5195,Qasr Alzaytuna Inn
678,Bhilwara,IN,79.16,clear sky,25.35,74.6333,Hotel Radiance Bhilwara
683,Kupang,ID,81.95,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
684,Socorro,US,76.5,broken clouds,31.6546,-106.3033,guarderia imss papalote
687,Tigzirt,DZ,72.16,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
690,Trairi,BR,74.35,few clouds,-3.2778,-39.2689,janelas do mar
691,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
698,Abu Kamal,SY,73.98,overcast clouds,34.4506,40.9171,البوكمال
699,Canutama,BR,78.1,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
700,Ambad,IN,78.3,clear sky,19.6167,75.8,"चांगले नगर, अंबड शहर"
702,Dicabisagan,PH,83.1,moderate rain,17.0818,122.4157,Nancy Montanes Bernardo
703,Kushima,JP,70.66,overcast clouds,31.4583,131.2333,Hanaoka
